PrimaryKey,LineKey,cover_type,percent
101C_2021,101C_15_2021,AF_I,5
101C_2021,101C_15_2021,AF_N,1.666666667
101C_2021,101C_15_2021,AG_I,5
101C_2021,101C_15_2021,PF_N,5
101C_2021,101C_15_2021,PG_I,0
101C_2021,101C_15_2021,PG_N,23.33333333
101C_2021,101C_15_2021,SH_N,36.66666667
101C_2021,101C_15_2021,PF_I,NA
101C_2021,101C_15_2021,GAP,36.66666667
101C_2021,101C_2_2021,AF_I,0
101C_2021,101C_2_2021,AF_N,3.333333333
101C_2021,101C_2_2021,AG_I,1.666666667
101C_2021,101C_2_2021,PF_N,5
101C_2021,101C_2_2021,PG_I,0
101C_2021,101C_2_2021,PG_N,25
101C_2021,101C_2_2021,SH_N,63.33333333
101C_2021,101C_2_2021,PF_I,NA
101C_2021,101C_2_2021,GAP,18.33333333
101C_2021,101C_28_2021,AF_I,0
101C_2021,101C_28_2021,AF_N,0
101C_2021,101C_28_2021,AG_I,0
101C_2021,101C_28_2021,PF_N,5
101C_2021,101C_28_2021,PG_I,0
101C_2021,101C_28_2021,PG_N,15
101C_2021,101C_28_2021,SH_N,51.66666667
101C_2021,101C_28_2021,PF_I,NA
101C_2021,101C_28_2021,GAP,35
101T_2021,101T_15_2021,AF_I,0
101T_2021,101T_15_2021,AF_N,1.666666667
101T_2021,101T_15_2021,AG_I,1.666666667
101T_2021,101T_15_2021,PF_N,6.666666667
101T_2021,101T_15_2021,PG_I,0
101T_2021,101T_15_2021,PG_N,31.66666667
101T_2021,101T_15_2021,SH_N,43.33333333
101T_2021,101T_15_2021,PF_I,NA
101T_2021,101T_15_2021,GAP,30
101T_2021,101T_2_2021,AF_I,0
101T_2021,101T_2_2021,AF_N,0
101T_2021,101T_2_2021,AG_I,0
101T_2021,101T_2_2021,PF_N,6.666666667
101T_2021,101T_2_2021,PG_I,0
101T_2021,101T_2_2021,PG_N,30
101T_2021,101T_2_2021,SH_N,38.33333333
101T_2021,101T_2_2021,PF_I,NA
101T_2021,101T_2_2021,GAP,36.66666667
101T_2021,101T_28_2021,AF_I,0
101T_2021,101T_28_2021,AF_N,0
101T_2021,101T_28_2021,AG_I,1.666666667
101T_2021,101T_28_2021,PF_N,3.333333333
101T_2021,101T_28_2021,PG_I,0
101T_2021,101T_28_2021,PG_N,23.33333333
101T_2021,101T_28_2021,SH_N,48.33333333
101T_2021,101T_28_2021,PF_I,NA
101T_2021,101T_28_2021,GAP,31.66666667
102T_2021,102T_15_2021,AF_I,0
102T_2021,102T_15_2021,AF_N,0
102T_2021,102T_15_2021,AG_I,3.333333333
102T_2021,102T_15_2021,PF_N,21.66666667
102T_2021,102T_15_2021,PG_I,0
102T_2021,102T_15_2021,PG_N,63.33333333
102T_2021,102T_15_2021,SH_N,53.33333333
102T_2021,102T_15_2021,PF_I,NA
102T_2021,102T_15_2021,GAP,5
102T_2021,102T_2_2021,AF_I,0
102T_2021,102T_2_2021,AF_N,0
102T_2021,102T_2_2021,AG_I,3.333333333
102T_2021,102T_2_2021,PF_N,16.66666667
102T_2021,102T_2_2021,PG_I,0
102T_2021,102T_2_2021,PG_N,36.66666667
102T_2021,102T_2_2021,SH_N,78.33333333
102T_2021,102T_2_2021,PF_I,NA
102T_2021,102T_2_2021,GAP,11.66666667
102T_2021,102T_28_2021,AF_I,0
102T_2021,102T_28_2021,AF_N,0
102T_2021,102T_28_2021,AG_I,10
102T_2021,102T_28_2021,PF_N,21.66666667
102T_2021,102T_28_2021,PG_I,0
102T_2021,102T_28_2021,PG_N,53.33333333
102T_2021,102T_28_2021,SH_N,55
102T_2021,102T_28_2021,PF_I,NA
102T_2021,102T_28_2021,GAP,10
103C_2021,103C_15_2021,AF_I,0
103C_2021,103C_15_2021,AF_N,0
103C_2021,103C_15_2021,AG_I,6.666666667
103C_2021,103C_15_2021,PF_N,21.66666667
103C_2021,103C_15_2021,PG_I,0
103C_2021,103C_15_2021,PG_N,33.33333333
103C_2021,103C_15_2021,SH_N,53.33333333
103C_2021,103C_15_2021,PF_I,NA
103C_2021,103C_15_2021,GAP,15
103C_2021,103C_2_2021,AF_I,0
103C_2021,103C_2_2021,AF_N,0
103C_2021,103C_2_2021,AG_I,6.666666667
103C_2021,103C_2_2021,PF_N,10
103C_2021,103C_2_2021,PG_I,0
103C_2021,103C_2_2021,PG_N,38.33333333
103C_2021,103C_2_2021,SH_N,46.66666667
103C_2021,103C_2_2021,PF_I,NA
103C_2021,103C_2_2021,GAP,21.66666667
103C_2021,103C_28_2021,AF_I,0
103C_2021,103C_28_2021,AF_N,0
103C_2021,103C_28_2021,AG_I,0
103C_2021,103C_28_2021,PF_N,6.666666667
103C_2021,103C_28_2021,PG_I,0
103C_2021,103C_28_2021,PG_N,41.66666667
103C_2021,103C_28_2021,SH_N,53.33333333
103C_2021,103C_28_2021,PF_I,NA
103C_2021,103C_28_2021,GAP,23.33333333
103T_2021,103T_15_2021,AF_I,0
103T_2021,103T_15_2021,AF_N,0
103T_2021,103T_15_2021,AG_I,0
103T_2021,103T_15_2021,PF_N,10
103T_2021,103T_15_2021,PG_I,0
103T_2021,103T_15_2021,PG_N,41.66666667
103T_2021,103T_15_2021,SH_N,65
103T_2021,103T_15_2021,PF_I,NA
103T_2021,103T_15_2021,GAP,20
103T_2021,103T_2_2021,AF_I,0
103T_2021,103T_2_2021,AF_N,0
103T_2021,103T_2_2021,AG_I,0
103T_2021,103T_2_2021,PF_N,20
103T_2021,103T_2_2021,PG_I,0
103T_2021,103T_2_2021,PG_N,31.66666667
103T_2021,103T_2_2021,SH_N,58.33333333
103T_2021,103T_2_2021,PF_I,NA
103T_2021,103T_2_2021,GAP,23.33333333
103T_2021,103T_28_2021,AF_I,0
103T_2021,103T_28_2021,AF_N,0
103T_2021,103T_28_2021,AG_I,0
103T_2021,103T_28_2021,PF_N,20
103T_2021,103T_28_2021,PG_I,0
103T_2021,103T_28_2021,PG_N,28.33333333
103T_2021,103T_28_2021,SH_N,68.33333333
103T_2021,103T_28_2021,PF_I,NA
103T_2021,103T_28_2021,GAP,16.66666667
104C_2021,104C_15_2021,AF_I,0
104C_2021,104C_15_2021,AF_N,0
104C_2021,104C_15_2021,AG_I,8.333333333
104C_2021,104C_15_2021,PF_N,13.33333333
104C_2021,104C_15_2021,PG_I,0
104C_2021,104C_15_2021,PG_N,51.66666667
104C_2021,104C_15_2021,SH_N,50
104C_2021,104C_15_2021,PF_I,NA
104C_2021,104C_15_2021,GAP,18.33333333
104C_2021,104C_2_2021,AF_I,0
104C_2021,104C_2_2021,AF_N,0
104C_2021,104C_2_2021,AG_I,6.666666667
104C_2021,104C_2_2021,PF_N,5
104C_2021,104C_2_2021,PG_I,0
104C_2021,104C_2_2021,PG_N,53.33333333
104C_2021,104C_2_2021,SH_N,55
104C_2021,104C_2_2021,PF_I,NA
104C_2021,104C_2_2021,GAP,5
104C_2021,104C_28_2021,AF_I,0
104C_2021,104C_28_2021,AF_N,0
104C_2021,104C_28_2021,AG_I,3.333333333
104C_2021,104C_28_2021,PF_N,5
104C_2021,104C_28_2021,PG_I,0
104C_2021,104C_28_2021,PG_N,43.33333333
104C_2021,104C_28_2021,SH_N,53.33333333
104C_2021,104C_28_2021,PF_I,NA
104C_2021,104C_28_2021,GAP,18.33333333
104T_2021,104T_15_2021,AF_I,0
104T_2021,104T_15_2021,AF_N,0
104T_2021,104T_15_2021,AG_I,0
104T_2021,104T_15_2021,PF_N,26.66666667
104T_2021,104T_15_2021,PG_I,0
104T_2021,104T_15_2021,PG_N,30
104T_2021,104T_15_2021,SH_N,21.66666667
104T_2021,104T_15_2021,PF_I,NA
104T_2021,104T_15_2021,GAP,38.33333333
104T_2021,104T_2_2021,AF_I,0
104T_2021,104T_2_2021,AF_N,0
104T_2021,104T_2_2021,AG_I,0
104T_2021,104T_2_2021,PF_N,18.33333333
104T_2021,104T_2_2021,PG_I,0
104T_2021,104T_2_2021,PG_N,33.33333333
104T_2021,104T_2_2021,SH_N,48.33333333
104T_2021,104T_2_2021,PF_I,NA
104T_2021,104T_2_2021,GAP,16.66666667
104T_2021,104T_28_2021,AF_I,0
104T_2021,104T_28_2021,AF_N,0
104T_2021,104T_28_2021,AG_I,0
104T_2021,104T_28_2021,PF_N,20
104T_2021,104T_28_2021,PG_I,0
104T_2021,104T_28_2021,PG_N,10
104T_2021,104T_28_2021,SH_N,20
104T_2021,104T_28_2021,PF_I,NA
104T_2021,104T_28_2021,GAP,56.66666667
105T_2021,105T_15_2021,AF_I,0
105T_2021,105T_15_2021,AF_N,0
105T_2021,105T_15_2021,AG_I,1.666666667
105T_2021,105T_15_2021,PF_N,8.333333333
105T_2021,105T_15_2021,PG_I,0
105T_2021,105T_15_2021,PG_N,55
105T_2021,105T_15_2021,SH_N,38.33333333
105T_2021,105T_15_2021,PF_I,NA
105T_2021,105T_15_2021,GAP,26.66666667
105T_2021,105T_2_2021,AF_I,0
105T_2021,105T_2_2021,AF_N,1.666666667
105T_2021,105T_2_2021,AG_I,1.666666667
105T_2021,105T_2_2021,PF_N,15
105T_2021,105T_2_2021,PG_I,0
105T_2021,105T_2_2021,PG_N,61.66666667
105T_2021,105T_2_2021,SH_N,23.33333333
105T_2021,105T_2_2021,PF_I,NA
105T_2021,105T_2_2021,GAP,23.33333333
105T_2021,105T_28_2021,AF_I,0
105T_2021,105T_28_2021,AF_N,0
105T_2021,105T_28_2021,AG_I,0
105T_2021,105T_28_2021,PF_N,23.33333333
105T_2021,105T_28_2021,PG_I,0
105T_2021,105T_28_2021,PG_N,48.33333333
105T_2021,105T_28_2021,SH_N,36.66666667
105T_2021,105T_28_2021,PF_I,NA
105T_2021,105T_28_2021,GAP,18.33333333
201C_2021,201C_15_2021,AF_I,0
201C_2021,201C_15_2021,AF_N,0
201C_2021,201C_15_2021,AG_I,3.333333333
201C_2021,201C_15_2021,PF_N,10
201C_2021,201C_15_2021,PG_I,0
201C_2021,201C_15_2021,PG_N,20
201C_2021,201C_15_2021,SH_N,45
201C_2021,201C_15_2021,PF_I,NA
201C_2021,201C_15_2021,GAP,36.66666667
201C_2021,201C_2_2021,AF_I,0
201C_2021,201C_2_2021,AF_N,1.666666667
201C_2021,201C_2_2021,AG_I,11.66666667
201C_2021,201C_2_2021,PF_N,6.666666667
201C_2021,201C_2_2021,PG_I,0
201C_2021,201C_2_2021,PG_N,16.66666667
201C_2021,201C_2_2021,SH_N,53.33333333
201C_2021,201C_2_2021,PF_I,NA
201C_2021,201C_2_2021,GAP,30
201C_2021,201C_28_2021,AF_I,0
201C_2021,201C_28_2021,AF_N,0
201C_2021,201C_28_2021,AG_I,1.666666667
201C_2021,201C_28_2021,PF_N,18.33333333
201C_2021,201C_28_2021,PG_I,0
201C_2021,201C_28_2021,PG_N,33.33333333
201C_2021,201C_28_2021,SH_N,38.33333333
201C_2021,201C_28_2021,PF_I,NA
201C_2021,201C_28_2021,GAP,33.33333333
201T_2021,201T_15_2021,AF_I,0
201T_2021,201T_15_2021,AF_N,0
201T_2021,201T_15_2021,AG_I,1.666666667
201T_2021,201T_15_2021,PF_N,6.666666667
201T_2021,201T_15_2021,PG_I,0
201T_2021,201T_15_2021,PG_N,43.33333333
201T_2021,201T_15_2021,SH_N,86.66666667
201T_2021,201T_15_2021,PF_I,NA
201T_2021,201T_15_2021,GAP,5
201T_2021,201T_2_2021,AF_I,0
201T_2021,201T_2_2021,AF_N,0
201T_2021,201T_2_2021,AG_I,8.333333333
201T_2021,201T_2_2021,PF_N,16.66666667
201T_2021,201T_2_2021,PG_I,0
201T_2021,201T_2_2021,PG_N,48.33333333
201T_2021,201T_2_2021,SH_N,70
201T_2021,201T_2_2021,PF_I,NA
201T_2021,201T_2_2021,GAP,8.333333333
201T_2021,201T_28_2021,AF_I,0
201T_2021,201T_28_2021,AF_N,0
201T_2021,201T_28_2021,AG_I,1.666666667
201T_2021,201T_28_2021,PF_N,10
201T_2021,201T_28_2021,PG_I,0
201T_2021,201T_28_2021,PG_N,33.33333333
201T_2021,201T_28_2021,SH_N,83.33333333
201T_2021,201T_28_2021,PF_I,NA
201T_2021,201T_28_2021,GAP,6.666666667
202C_2021,202C_15_2021,AF_I,0
202C_2021,202C_15_2021,AF_N,0
202C_2021,202C_15_2021,AG_I,11.66666667
202C_2021,202C_15_2021,PF_N,10
202C_2021,202C_15_2021,PG_I,0
202C_2021,202C_15_2021,PG_N,36.66666667
202C_2021,202C_15_2021,SH_N,58.33333333
202C_2021,202C_15_2021,PF_I,NA
202C_2021,202C_15_2021,GAP,18.33333333
202C_2021,202C_2_2021,AF_I,0
202C_2021,202C_2_2021,AF_N,0
202C_2021,202C_2_2021,AG_I,13.33333333
202C_2021,202C_2_2021,PF_N,6.666666667
202C_2021,202C_2_2021,PG_I,0
202C_2021,202C_2_2021,PG_N,26.66666667
202C_2021,202C_2_2021,SH_N,68.33333333
202C_2021,202C_2_2021,PF_I,NA
202C_2021,202C_2_2021,GAP,16.66666667
202C_2021,202C_28_2021,AF_I,3.333333333
202C_2021,202C_28_2021,AF_N,5
202C_2021,202C_28_2021,AG_I,10
202C_2021,202C_28_2021,PF_N,21.66666667
202C_2021,202C_28_2021,PG_I,0
202C_2021,202C_28_2021,PG_N,26.66666667
202C_2021,202C_28_2021,SH_N,58.33333333
202C_2021,202C_28_2021,PF_I,NA
202C_2021,202C_28_2021,GAP,20
202T_2021,202T_15_2021,AF_I,0
202T_2021,202T_15_2021,AF_N,0
202T_2021,202T_15_2021,AG_I,5
202T_2021,202T_15_2021,PF_N,15
202T_2021,202T_15_2021,PG_I,0
202T_2021,202T_15_2021,PG_N,38.33333333
202T_2021,202T_15_2021,SH_N,71.66666667
202T_2021,202T_15_2021,PF_I,NA
202T_2021,202T_15_2021,GAP,5
202T_2021,202T_2_2021,AF_I,0
202T_2021,202T_2_2021,AF_N,0
202T_2021,202T_2_2021,AG_I,5
202T_2021,202T_2_2021,PF_N,23.33333333
202T_2021,202T_2_2021,PG_I,0
202T_2021,202T_2_2021,PG_N,53.33333333
202T_2021,202T_2_2021,SH_N,73.33333333
202T_2021,202T_2_2021,PF_I,NA
202T_2021,202T_2_2021,GAP,1.666666667
202T_2021,202T_28_2021,AF_I,0
202T_2021,202T_28_2021,AF_N,1.666666667
202T_2021,202T_28_2021,AG_I,5
202T_2021,202T_28_2021,PF_N,16.66666667
202T_2021,202T_28_2021,PG_I,0
202T_2021,202T_28_2021,PG_N,30
202T_2021,202T_28_2021,SH_N,53.33333333
202T_2021,202T_28_2021,PF_I,NA
202T_2021,202T_28_2021,GAP,25
203C_2021,203C_15_2021,AF_I,0
203C_2021,203C_15_2021,AF_N,0
203C_2021,203C_15_2021,AG_I,3.333333333
203C_2021,203C_15_2021,PF_N,21.66666667
203C_2021,203C_15_2021,PG_I,0
203C_2021,203C_15_2021,PG_N,56.66666667
203C_2021,203C_15_2021,SH_N,31.66666667
203C_2021,203C_15_2021,PF_I,NA
203C_2021,203C_15_2021,GAP,20
203C_2021,203C_2_2021,AF_I,0
203C_2021,203C_2_2021,AF_N,3.333333333
203C_2021,203C_2_2021,AG_I,1.666666667
203C_2021,203C_2_2021,PF_N,15
203C_2021,203C_2_2021,PG_I,0
203C_2021,203C_2_2021,PG_N,51.66666667
203C_2021,203C_2_2021,SH_N,66.66666667
203C_2021,203C_2_2021,PF_I,NA
203C_2021,203C_2_2021,GAP,8.333333333
203C_2021,203C_28_2021,AF_I,0
203C_2021,203C_28_2021,AF_N,0
203C_2021,203C_28_2021,AG_I,0
203C_2021,203C_28_2021,PF_N,20
203C_2021,203C_28_2021,PG_I,0
203C_2021,203C_28_2021,PG_N,60
203C_2021,203C_28_2021,SH_N,51.66666667
203C_2021,203C_28_2021,PF_I,NA
203C_2021,203C_28_2021,GAP,10
203T_2021,203T_15_2021,AF_I,0
203T_2021,203T_15_2021,AF_N,0
203T_2021,203T_15_2021,AG_I,1.666666667
203T_2021,203T_15_2021,PF_N,8.333333333
203T_2021,203T_15_2021,PG_I,0
203T_2021,203T_15_2021,PG_N,80
203T_2021,203T_15_2021,SH_N,58.33333333
203T_2021,203T_15_2021,PF_I,NA
203T_2021,203T_15_2021,GAP,5
203T_2021,203T_2_2021,AF_I,0
203T_2021,203T_2_2021,AF_N,0
203T_2021,203T_2_2021,AG_I,0
203T_2021,203T_2_2021,PF_N,53.33333333
203T_2021,203T_2_2021,PG_I,0
203T_2021,203T_2_2021,PG_N,60
203T_2021,203T_2_2021,SH_N,78.33333333
203T_2021,203T_2_2021,PF_I,NA
203T_2021,203T_2_2021,GAP,1.666666667
203T_2021,203T_28_2021,AF_I,0
203T_2021,203T_28_2021,AF_N,0
203T_2021,203T_28_2021,AG_I,0
203T_2021,203T_28_2021,PF_N,13.33333333
203T_2021,203T_28_2021,PG_I,0
203T_2021,203T_28_2021,PG_N,68.33333333
203T_2021,203T_28_2021,SH_N,51.66666667
203T_2021,203T_28_2021,PF_I,NA
203T_2021,203T_28_2021,GAP,15
204C_2021,204C_15_2021,AF_I,0
204C_2021,204C_15_2021,AF_N,0
204C_2021,204C_15_2021,AG_I,5
204C_2021,204C_15_2021,PF_N,18.33333333
204C_2021,204C_15_2021,PG_I,0
204C_2021,204C_15_2021,PG_N,16.66666667
204C_2021,204C_15_2021,SH_N,61.66666667
204C_2021,204C_15_2021,PF_I,NA
204C_2021,204C_15_2021,GAP,25
204C_2021,204C_2_2021,AF_I,0
204C_2021,204C_2_2021,AF_N,0
204C_2021,204C_2_2021,AG_I,8.333333333
204C_2021,204C_2_2021,PF_N,13.33333333
204C_2021,204C_2_2021,PG_I,0
204C_2021,204C_2_2021,PG_N,20
204C_2021,204C_2_2021,SH_N,61.66666667
204C_2021,204C_2_2021,PF_I,NA
204C_2021,204C_2_2021,GAP,23.33333333
204C_2021,204C_28_2021,AF_I,0
204C_2021,204C_28_2021,AF_N,1.666666667
204C_2021,204C_28_2021,AG_I,0
204C_2021,204C_28_2021,PF_N,21.66666667
204C_2021,204C_28_2021,PG_I,0
204C_2021,204C_28_2021,PG_N,28.33333333
204C_2021,204C_28_2021,SH_N,53.33333333
204C_2021,204C_28_2021,PF_I,NA
204C_2021,204C_28_2021,GAP,33.33333333
204T_2021,204T_15_2021,AF_I,0
204T_2021,204T_15_2021,AF_N,0
204T_2021,204T_15_2021,AG_I,0
204T_2021,204T_15_2021,PF_N,15
204T_2021,204T_15_2021,PG_I,0
204T_2021,204T_15_2021,PG_N,68.33333333
204T_2021,204T_15_2021,SH_N,68.33333333
204T_2021,204T_15_2021,PF_I,NA
204T_2021,204T_15_2021,GAP,10
204T_2021,204T_2_2021,AF_I,0
204T_2021,204T_2_2021,AF_N,0
204T_2021,204T_2_2021,AG_I,0
204T_2021,204T_2_2021,PF_N,11.66666667
204T_2021,204T_2_2021,PG_I,0
204T_2021,204T_2_2021,PG_N,50
204T_2021,204T_2_2021,SH_N,48.33333333
204T_2021,204T_2_2021,PF_I,NA
204T_2021,204T_2_2021,GAP,21.66666667
204T_2021,204T_28_2021,AF_I,0
204T_2021,204T_28_2021,AF_N,0
204T_2021,204T_28_2021,AG_I,1.666666667
204T_2021,204T_28_2021,PF_N,18.33333333
204T_2021,204T_28_2021,PG_I,0
204T_2021,204T_28_2021,PG_N,60
204T_2021,204T_28_2021,SH_N,65
204T_2021,204T_28_2021,PF_I,NA
204T_2021,204T_28_2021,GAP,5
301C_2021,301C_15_2021,AF_I,0
301C_2021,301C_15_2021,AF_N,0
301C_2021,301C_15_2021,AG_I,13.33333333
301C_2021,301C_15_2021,PF_N,10
301C_2021,301C_15_2021,PG_I,0
301C_2021,301C_15_2021,PG_N,51.66666667
301C_2021,301C_15_2021,SH_N,28.33333333
301C_2021,301C_15_2021,PF_I,NA
301C_2021,301C_15_2021,GAP,25
301C_2021,301C_2_2021,AF_I,1.666666667
301C_2021,301C_2_2021,AF_N,0
301C_2021,301C_2_2021,AG_I,1.666666667
301C_2021,301C_2_2021,PF_N,13.33333333
301C_2021,301C_2_2021,PG_I,1.666666667
301C_2021,301C_2_2021,PG_N,28.33333333
301C_2021,301C_2_2021,SH_N,13.33333333
301C_2021,301C_2_2021,PF_I,NA
301C_2021,301C_2_2021,GAP,48.33333333
301C_2021,301C_28_2021,AF_I,0
301C_2021,301C_28_2021,AF_N,0
301C_2021,301C_28_2021,AG_I,1.666666667
301C_2021,301C_28_2021,PF_N,16.66666667
301C_2021,301C_28_2021,PG_I,0
301C_2021,301C_28_2021,PG_N,36.66666667
301C_2021,301C_28_2021,SH_N,21.66666667
301C_2021,301C_28_2021,PF_I,NA
301C_2021,301C_28_2021,GAP,33.33333333
301T_2021,301T_15_2021,AF_I,0
301T_2021,301T_15_2021,AF_N,0
301T_2021,301T_15_2021,AG_I,0
301T_2021,301T_15_2021,PF_N,10
301T_2021,301T_15_2021,PG_I,0
301T_2021,301T_15_2021,PG_N,43.33333333
301T_2021,301T_15_2021,SH_N,8.333333333
301T_2021,301T_15_2021,PF_I,NA
301T_2021,301T_15_2021,GAP,48.33333333
301T_2021,301T_2_2021,AF_I,0
301T_2021,301T_2_2021,AF_N,1.666666667
301T_2021,301T_2_2021,AG_I,6.666666667
301T_2021,301T_2_2021,PF_N,6.666666667
301T_2021,301T_2_2021,PG_I,0
301T_2021,301T_2_2021,PG_N,35
301T_2021,301T_2_2021,SH_N,8.333333333
301T_2021,301T_2_2021,PF_I,NA
301T_2021,301T_2_2021,GAP,46.66666667
301T_2021,301T_28_2021,AF_I,0
301T_2021,301T_28_2021,AF_N,0
301T_2021,301T_28_2021,AG_I,5
301T_2021,301T_28_2021,PF_N,8.333333333
301T_2021,301T_28_2021,PG_I,0
301T_2021,301T_28_2021,PG_N,48.33333333
301T_2021,301T_28_2021,SH_N,28.33333333
301T_2021,301T_28_2021,PF_I,NA
301T_2021,301T_28_2021,GAP,23.33333333
302C_2021,302C_15_2021,AF_I,0
302C_2021,302C_15_2021,AF_N,0
302C_2021,302C_15_2021,AG_I,21.66666667
302C_2021,302C_15_2021,PF_N,36.66666667
302C_2021,302C_15_2021,PG_I,0
302C_2021,302C_15_2021,PG_N,35
302C_2021,302C_15_2021,SH_N,6.666666667
302C_2021,302C_15_2021,PF_I,NA
302C_2021,302C_15_2021,GAP,21.66666667
302C_2021,302C_2_2021,AF_I,0
302C_2021,302C_2_2021,AF_N,0
302C_2021,302C_2_2021,AG_I,0
302C_2021,302C_2_2021,PF_N,30
302C_2021,302C_2_2021,PG_I,0
302C_2021,302C_2_2021,PG_N,40
302C_2021,302C_2_2021,SH_N,11.66666667
302C_2021,302C_2_2021,PF_I,NA
302C_2021,302C_2_2021,GAP,33.33333333
302C_2021,302C_28_2021,AF_I,0
302C_2021,302C_28_2021,AF_N,0
302C_2021,302C_28_2021,AG_I,18.33333333
302C_2021,302C_28_2021,PF_N,26.66666667
302C_2021,302C_28_2021,PG_I,0
302C_2021,302C_28_2021,PG_N,23.33333333
302C_2021,302C_28_2021,SH_N,16.66666667
302C_2021,302C_28_2021,PF_I,NA
302C_2021,302C_28_2021,GAP,35
302T_2021,302T_15_2021,AF_I,3.333333333
302T_2021,302T_15_2021,AF_N,1.666666667
302T_2021,302T_15_2021,AG_I,0
302T_2021,302T_15_2021,PF_N,20
302T_2021,302T_15_2021,PG_I,0
302T_2021,302T_15_2021,PG_N,36.66666667
302T_2021,302T_15_2021,SH_N,8.333333333
302T_2021,302T_15_2021,PF_I,NA
302T_2021,302T_15_2021,GAP,33.33333333
302T_2021,302T_2_2021,AF_I,0
302T_2021,302T_2_2021,AF_N,6.666666667
302T_2021,302T_2_2021,AG_I,6.666666667
302T_2021,302T_2_2021,PF_N,10
302T_2021,302T_2_2021,PG_I,0
302T_2021,302T_2_2021,PG_N,40
302T_2021,302T_2_2021,SH_N,30
302T_2021,302T_2_2021,PF_I,NA
302T_2021,302T_2_2021,GAP,21.66666667
302T_2021,302T_28_2021,AF_I,1.666666667
302T_2021,302T_28_2021,AF_N,0
302T_2021,302T_28_2021,AG_I,3.333333333
302T_2021,302T_28_2021,PF_N,20
302T_2021,302T_28_2021,PG_I,0
302T_2021,302T_28_2021,PG_N,31.66666667
302T_2021,302T_28_2021,SH_N,18.33333333
302T_2021,302T_28_2021,PF_I,NA
302T_2021,302T_28_2021,GAP,40
303C_2021,303C_15_2021,AF_I,0
303C_2021,303C_15_2021,AF_N,0
303C_2021,303C_15_2021,AG_I,10
303C_2021,303C_15_2021,PF_N,23.33333333
303C_2021,303C_15_2021,PG_I,0
303C_2021,303C_15_2021,PG_N,33.33333333
303C_2021,303C_15_2021,SH_N,28.33333333
303C_2021,303C_15_2021,PF_I,NA
